model,mae,rmse,r2
RandomForest,6.436016030946752,9.06408463142524,0.30968687665096883
GradientBoosting,6.560875739530277,9.30540469211506,0.2724400965630168
Ridge_tuned,6.778290282664251,9.523306125007062,0.23796711100739576
Ridge_baseline,6.778169897633017,9.523311986020673,0.23796617303765089
MLP_DL,25.17194603881297,32.954737274510094,-8.125022274624206
